$ go install github.com/charmbracelet/glow@latest

go: downloading github.com/charmbracelet/glow v1.5.1
go: downloading github.com/charmbracelet/charm v0.8.7
go: downloading github.com/charmbracelet/lipgloss v0.6.0
go: downloading github.com/muesli/go-app-paths v0.2.2
go: downloading github.com/spf13/cobra v1.6.1
go: downloading github.com/charmbracelet/glamour v0.6.0
go: downloading github.com/meowgorithm/babyenv v1.3.1
go: downloading github.com/spf13/viper v1.14.0
go: downloading github.com/charmbracelet/bubbletea v0.23.2
go: downloading golang.org/x/term v0.7.0
go: downloading github.com/mitchellh/go-homedir v1.1.0
go: downloading github.com/atotto/clipboard v0.1.4
go: downloading github.com/charmbracelet/bubbles v0.15.0
go: downloading github.com/dustin/go-humanize v1.0.1-0.20200219035652-afde56e7acac
go: downloading github.com/mattn/go-runewidth v0.0.14
go: downloading github.com/muesli/gitcha v0.2.0
go: downloading github.com/muesli/reflow v0.3.0
go: downloading github.com/muesli/termenv v0.15.1
go: downloading github.com/segmentio/ksuid v1.0.4
go: downloading github.com/sahilm/fuzzy v0.1.0
go: downloading golang.org/x/text v0.9.0
go: downloading github.com/fsnotify/fsnotify v1.6.0
go: downloading github.com/mitchellh/mapstructure v1.5.0
go: downloading github.com/spf13/afero v1.9.2
go: downloading github.com/spf13/cast v1.5.0
go: downloading github.com/spf13/jwalterweatherman v1.1.0
go: downloading github.com/spf13/pflag v1.0.5
go: downloading golang.org/x/sys v0.7.0
go: downloading github.com/containerd/console v1.0.3
go: downloading github.com/mattn/go-isatty v0.0.18
go: downloading github.com/mattn/go-localereader v0.0.1
go: downloading github.com/muesli/ansi v0.0.0-20211018074035-2e021307bc4b
go: downloading github.com/muesli/cancelreader v0.2.2
go: downloading golang.org/x/sync v0.1.0
go: downloading github.com/yuin/goldmark v1.5.2
go: downloading github.com/yuin/goldmark-emoji v1.0.1
go: downloading github.com/calmh/randomart v1.1.0
go: downloading github.com/dgrijalva/jwt-go v3.2.0+incompatible
go: downloading github.com/mikesmitty/edkey v0.0.0-20170222072505-3356ea4e686a
go: downloading github.com/google/uuid v1.3.0
go: downloading golang.org/x/crypto v0.0.0-20220525230936-793ad666bf5e
go: downloading github.com/muesli/sasquatch v0.0.0-20200811221207-66979d92330a
go: downloading github.com/rivo/uniseg v0.2.0
go: downloading github.com/aymanbagabas/go-osc52/v2 v2.0.1
go: downloading github.com/lucasb-eyer/go-colorful v1.2.0
go: downloading github.com/aymanbagabas/go-osc52 v1.2.1
go: downloading github.com/sabhiram/go-gitignore v0.0.0-20180611051255-d3107576ba94
go: downloading github.com/subosito/gotenv v1.4.1
go: downloading github.com/hashicorp/hcl v1.0.0
go: downloading gopkg.in/ini.v1 v1.67.0
go: downloading github.com/magiconair/properties v1.8.6
go: downloading github.com/pelletier/go-toml/v2 v2.0.5
go: downloading gopkg.in/yaml.v3 v3.0.1
go: downloading github.com/alecthomas/chroma v0.10.0
go: downloading github.com/microcosm-cc/bluemonday v1.0.21
go: downloading github.com/olekukonko/tablewriter v0.0.5
go: downloading github.com/pelletier/go-toml v1.9.5
go: downloading golang.org/x/net v0.6.0
go: downloading github.com/aymerick/douceur v0.2.0
go: downloading github.com/gorilla/css v1.0.0
go: downloading github.com/dlclark/regexp2 v1.4.0
